epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.90259,2.32169,5.79507,1.73222,5e-05,0.01852,8e-05,1e-05,1.77634,4.91447,1.33037,0.00013,0.00013,0.00013
2,7.22862,1.19832,4.03503,0.98965,0.00453,0.63834,0.10846,0.05504,0.87333,4.19491,0.82224,0.000268663,0.000268663,0.000268663
3,8.69712,1.0312,2.91185,0.91053,0.00496,0.7736,0.14417,0.07209,0.81303,3.91246,0.80299,0.000405941,0.000405941,0.000405941
4,10.129,0.91434,2.60605,0.8886,0.00424,0.63733,0.21816,0.174,0.72637,3.68896,0.80804,0.000541832,0.000541832,0.000541832
5,11.5272,0.83582,2.17438,0.87975,0.00437,0.65209,0.25668,0.20568,0.75237,3.62759,0.82139,0.000676338,0.000676338,0.000676338
6,13.0516,0.84176,1.96844,0.8721,0.77636,0.04693,0.50442,0.40917,0.72377,3.09824,0.82247,0.000809458,0.000809458,0.000809458
7,14.3947,0.75603,1.69434,0.87826,0.80017,0.32252,0.6589,0.53081,0.70346,2.59945,0.82872,0.000941191,0.000941191,0.000941191
8,15.9168,0.7568,1.50368,0.87253,0.95017,0.57842,0.8953,0.69569,0.83073,2.24952,0.88575,0.00096535,0.00096535,0.00096535
9,17.3222,0.78676,1.32605,0.88545,0.89786,0.7006,0.89097,0.71277,0.76103,1.90152,0.86466,0.0009604,0.0009604,0.0009604
10,18.8195,0.74996,1.25903,0.88656,0.84942,0.81786,0.93678,0.76841,0.69909,1.65255,0.85259,0.00095545,0.00095545,0.00095545
11,20.2626,0.70895,1.17631,0.86326,0.92646,0.89814,0.9599,0.75187,0.76944,1.37495,0.8739,0.0009505,0.0009505,0.0009505
12,21.6387,0.71147,1.13072,0.87356,0.95656,0.94015,0.96993,0.79205,0.74093,0.9955,0.85351,0.00094555,0.00094555,0.00094555
13,22.9973,0.66154,1.00978,0.84885,0.91535,0.91693,0.97088,0.80196,0.66851,0.98355,0.84164,0.0009406,0.0009406,0.0009406
14,24.3779,0.68498,1.01923,0.86371,0.831,0.90722,0.9639,0.80172,0.62421,0.97243,0.84214,0.00093565,0.00093565,0.00093565
15,25.7325,0.68016,1.01734,0.85211,0.94774,0.93997,0.97069,0.79155,0.69176,0.75474,0.85593,0.0009307,0.0009307,0.0009307
16,27.0612,0.68562,0.95206,0.85829,0.96237,0.95298,0.9751,0.80855,0.66473,0.70007,0.84459,0.00092575,0.00092575,0.00092575
17,28.604,0.69138,0.88491,0.85844,0.92917,0.93797,0.98275,0.79814,0.66886,0.75836,0.84403,0.0009208,0.0009208,0.0009208
18,30.0486,0.67725,0.93066,0.87573,0.95041,0.95144,0.97994,0.81415,0.62068,0.71347,0.82811,0.00091585,0.00091585,0.00091585
19,31.5146,0.67186,0.86202,0.85364,0.95322,0.95026,0.9897,0.82925,0.63658,0.72095,0.83865,0.0009109,0.0009109,0.0009109
20,33.1046,0.6594,0.83241,0.85762,0.9408,0.96829,0.98494,0.82151,0.66481,0.69411,0.83813,0.00090595,0.00090595,0.00090595
21,34.471,0.62091,0.78076,0.84101,0.89687,0.95472,0.97038,0.81759,0.66404,0.788,0.83506,0.000901,0.000901,0.000901
22,35.9144,0.60917,0.79782,0.84254,0.93534,0.97142,0.98462,0.82844,0.64507,0.73686,0.84565,0.00089605,0.00089605,0.00089605
23,37.3223,0.63043,0.81594,0.85232,0.93045,0.98081,0.98367,0.82315,0.65664,0.69817,0.84479,0.0008911,0.0008911,0.0008911
24,38.7492,0.62595,0.77799,0.85257,0.95725,0.95953,0.97666,0.80537,0.66714,0.65394,0.85398,0.00088615,0.00088615,0.00088615
25,40.1135,0.59991,0.76775,0.85369,0.94439,0.97741,0.97636,0.81251,0.65717,0.61729,0.84932,0.0008812,0.0008812,0.0008812
26,41.4634,0.60556,0.74282,0.83794,0.94851,0.97324,0.98854,0.82884,0.61746,0.55836,0.82758,0.00087625,0.00087625,0.00087625
27,42.7565,0.59581,0.73949,0.84871,0.96328,0.93875,0.97822,0.81188,0.63516,0.55046,0.83079,0.0008713,0.0008713,0.0008713
28,44.2255,0.59389,0.71558,0.83997,0.94658,0.97657,0.98184,0.80225,0.65553,0.60101,0.83118,0.00086635,0.00086635,0.00086635
29,45.6298,0.62212,0.72578,0.85932,0.97494,0.97583,0.97828,0.83849,0.5605,0.54013,0.81496,0.0008614,0.0008614,0.0008614
30,47.0009,0.61647,0.66824,0.84824,0.96088,0.97056,0.97756,0.83331,0.58292,0.52327,0.82035,0.00085645,0.00085645,0.00085645
31,48.4344,0.59005,0.67083,0.82997,0.96445,0.97592,0.98835,0.82863,0.62692,0.53742,0.82744,0.0008515,0.0008515,0.0008515
32,49.93,0.5869,0.65005,0.84291,0.94905,0.98618,0.98043,0.80062,0.69157,0.51761,0.84591,0.00084655,0.00084655,0.00084655
33,51.3825,0.616,0.63831,0.84012,0.97245,0.98337,0.97906,0.82398,0.64575,0.48703,0.83646,0.0008416,0.0008416,0.0008416
34,52.8435,0.57191,0.60261,0.84665,0.96215,0.97779,0.97788,0.80342,0.67872,0.48665,0.83989,0.00083665,0.00083665,0.00083665
35,54.3053,0.55555,0.62186,0.83296,0.92858,0.98317,0.97628,0.80254,0.65091,0.51566,0.83565,0.0008317,0.0008317,0.0008317
36,55.742,0.57158,0.59396,0.84819,0.96193,0.96847,0.97973,0.82277,0.59978,0.48724,0.82682,0.00082675,0.00082675,0.00082675
37,57.154,0.58718,0.59118,0.84254,0.9543,0.98128,0.98303,0.8268,0.61226,0.51161,0.82921,0.0008218,0.0008218,0.0008218
38,58.6264,0.57978,0.58373,0.84917,0.95039,0.97809,0.97561,0.82202,0.62876,0.49889,0.83737,0.00081685,0.00081685,0.00081685
39,60.0817,0.55514,0.58988,0.82906,0.97408,0.95216,0.97816,0.81374,0.61949,0.52649,0.82943,0.0008119,0.0008119,0.0008119
40,61.4277,0.56651,0.57156,0.83172,0.95491,0.98346,0.97705,0.82699,0.58664,0.48061,0.82212,0.00080695,0.00080695,0.00080695
41,62.8794,0.57332,0.55371,0.82249,0.95876,0.94646,0.97855,0.82717,0.58731,0.50198,0.81824,0.000802,0.000802,0.000802
42,64.3273,0.54135,0.56408,0.84177,0.9589,0.95398,0.97114,0.81722,0.60449,0.50888,0.81925,0.00079705,0.00079705,0.00079705
43,65.7639,0.56651,0.56037,0.82626,0.96586,0.95175,0.97458,0.83161,0.60056,0.48474,0.82081,0.0007921,0.0007921,0.0007921
44,67.1832,0.53408,0.5284,0.81712,0.9596,0.9176,0.98229,0.81503,0.63714,0.54765,0.83719,0.00078715,0.00078715,0.00078715
45,68.6371,0.55359,0.5528,0.83292,0.9635,0.95321,0.9832,0.80485,0.68915,0.47487,0.84519,0.0007822,0.0007822,0.0007822
46,70.0691,0.54626,0.53524,0.8188,0.90928,0.9892,0.97924,0.81676,0.63821,0.53209,0.82436,0.00077725,0.00077725,0.00077725
47,71.4907,0.5335,0.51787,0.82999,0.93851,0.97487,0.98515,0.81336,0.63201,0.54091,0.81972,0.0007723,0.0007723,0.0007723
48,72.9774,0.55886,0.52425,0.83869,0.94112,0.98027,0.98883,0.82585,0.60844,0.47025,0.81895,0.00076735,0.00076735,0.00076735
49,74.3894,0.53259,0.50161,0.82616,0.96421,0.97591,0.98644,0.82689,0.61739,0.44833,0.82246,0.0007624,0.0007624,0.0007624
50,75.8424,0.54197,0.52918,0.83397,0.96058,0.96155,0.98825,0.84563,0.57372,0.44776,0.80789,0.00075745,0.00075745,0.00075745
51,77.3383,0.55615,0.51358,0.82915,0.97683,0.96401,0.98394,0.83847,0.55191,0.47223,0.80483,0.0007525,0.0007525,0.0007525
52,78.8587,0.5257,0.52172,0.83078,0.97313,0.94583,0.98416,0.83757,0.58573,0.47514,0.81145,0.00074755,0.00074755,0.00074755
53,80.2164,0.53988,0.52925,0.83541,0.96672,0.95334,0.98597,0.82039,0.63704,0.48181,0.81944,0.0007426,0.0007426,0.0007426
54,81.6565,0.55769,0.51833,0.82749,0.96982,0.96411,0.99007,0.85103,0.59258,0.432,0.82144,0.00073765,0.00073765,0.00073765
55,83.0732,0.56188,0.5058,0.84289,0.94713,0.98763,0.98687,0.84628,0.56178,0.42425,0.81282,0.0007327,0.0007327,0.0007327
56,84.5192,0.56931,0.50523,0.82247,0.92713,0.95624,0.98408,0.82388,0.5944,0.51494,0.82165,0.00072775,0.00072775,0.00072775
57,85.9136,0.53188,0.48096,0.83338,0.89428,0.93764,0.97603,0.84285,0.57533,0.81995,0.82053,0.0007228,0.0007228,0.0007228
58,87.324,0.5443,0.4875,0.8282,0.95664,0.97507,0.98308,0.82042,0.6499,0.46385,0.8423,0.00071785,0.00071785,0.00071785
59,88.8279,0.56852,0.49142,0.84388,0.95647,0.9708,0.98201,0.83806,0.57695,0.4515,0.81663,0.0007129,0.0007129,0.0007129
60,90.2189,0.55079,0.48902,0.83885,0.95276,0.97684,0.97832,0.82254,0.62862,0.43701,0.82945,0.00070795,0.00070795,0.00070795
61,91.5928,0.52332,0.45419,0.81982,0.94998,0.97694,0.98198,0.83776,0.56645,0.41919,0.81336,0.000703,0.000703,0.000703
62,93.0437,0.55304,0.48018,0.83181,0.95482,0.9586,0.98388,0.84599,0.54334,0.45301,0.80884,0.00069805,0.00069805,0.00069805
63,94.5509,0.51498,0.46343,0.8229,0.93717,0.9709,0.98336,0.84109,0.57733,0.43718,0.81999,0.0006931,0.0006931,0.0006931
64,96.001,0.48879,0.45391,0.81651,0.94717,0.98818,0.98294,0.83094,0.56901,0.41075,0.81379,0.00068815,0.00068815,0.00068815
65,97.429,0.5051,0.44668,0.81907,0.95692,0.98461,0.97876,0.82867,0.59515,0.40762,0.82099,0.0006832,0.0006832,0.0006832
66,98.8008,0.48423,0.44416,0.8251,0.95355,0.97359,0.97679,0.84633,0.54955,0.40953,0.80828,0.00067825,0.00067825,0.00067825
67,100.232,0.50199,0.43573,0.83091,0.9516,0.96619,0.97724,0.83323,0.57859,0.4095,0.8147,0.0006733,0.0006733,0.0006733
68,101.761,0.50069,0.43973,0.82161,0.96221,0.95884,0.97647,0.84919,0.52732,0.42078,0.80587,0.00066835,0.00066835,0.00066835
69,103.087,0.50163,0.45152,0.8146,0.95397,0.98413,0.977,0.83396,0.5591,0.4257,0.81164,0.0006634,0.0006634,0.0006634
70,104.454,0.50676,0.4273,0.81288,0.95356,0.97664,0.98036,0.84629,0.59573,0.41669,0.83021,0.00065845,0.00065845,0.00065845
71,105.931,0.50098,0.43796,0.81734,0.93899,0.96185,0.97382,0.83478,0.54378,0.41437,0.8114,0.0006535,0.0006535,0.0006535
72,107.508,0.49899,0.432,0.81466,0.93407,0.96011,0.97638,0.82872,0.61148,0.42135,0.82966,0.00064855,0.00064855,0.00064855
73,108.905,0.5212,0.42874,0.81744,0.95161,0.95871,0.98174,0.8451,0.54863,0.39727,0.81977,0.0006436,0.0006436,0.0006436
74,110.343,0.49598,0.41743,0.81457,0.93921,0.96408,0.98642,0.85534,0.52317,0.57649,0.81725,0.00063865,0.00063865,0.00063865
75,111.802,0.47645,0.41311,0.81781,0.86962,0.97404,0.97567,0.8474,0.54128,0.66424,0.81825,0.0006337,0.0006337,0.0006337
76,113.219,0.49736,0.41593,0.8173,0.94751,0.94415,0.98446,0.83711,0.59379,0.41981,0.82117,0.00062875,0.00062875,0.00062875
77,114.63,0.50253,0.42054,0.81796,0.93202,0.97008,0.98404,0.81456,0.62759,0.40868,0.82352,0.0006238,0.0006238,0.0006238
78,116.035,0.46892,0.4121,0.81616,0.94505,0.98074,0.97951,0.82848,0.58182,0.3982,0.82117,0.00061885,0.00061885,0.00061885
79,117.362,0.47447,0.40705,0.8149,0.92384,0.99074,0.97952,0.84109,0.53785,0.49893,0.81402,0.0006139,0.0006139,0.0006139
80,118.849,0.47235,0.42256,0.81919,0.94844,0.96656,0.9831,0.83249,0.58767,0.52471,0.82511,0.00060895,0.00060895,0.00060895
81,120.137,0.46442,0.41239,0.81952,0.95672,0.97525,0.98153,0.82765,0.5657,0.39017,0.81757,0.000604,0.000604,0.000604
82,121.646,0.4513,0.3958,0.81022,0.94031,0.98676,0.98668,0.84844,0.528,0.40322,0.81512,0.00059905,0.00059905,0.00059905
83,123.051,0.4731,0.40197,0.81862,0.96642,0.96077,0.98077,0.83053,0.58194,0.41734,0.82992,0.0005941,0.0005941,0.0005941
84,124.575,0.47628,0.39595,0.81378,0.95483,0.98253,0.98189,0.82415,0.60073,0.39946,0.82449,0.00058915,0.00058915,0.00058915
85,126.046,0.47607,0.41662,0.81175,0.97451,0.96476,0.98341,0.83199,0.59133,0.39605,0.8207,0.0005842,0.0005842,0.0005842
86,127.435,0.47227,0.40136,0.81943,0.97165,0.97261,0.98089,0.82265,0.62734,0.40001,0.83385,0.00057925,0.00057925,0.00057925
87,128.895,0.48872,0.40688,0.82445,0.96764,0.9663,0.97957,0.83208,0.59284,0.38519,0.82057,0.0005743,0.0005743,0.0005743
88,130.334,0.47373,0.40127,0.81995,0.96889,0.97384,0.97686,0.82934,0.57342,0.39005,0.81737,0.00056935,0.00056935,0.00056935
89,131.749,0.47461,0.39145,0.81627,0.92851,0.97971,0.9813,0.85394,0.54443,0.40019,0.81526,0.0005644,0.0005644,0.0005644
90,133.241,0.47528,0.39913,0.82784,0.96949,0.96261,0.98257,0.84764,0.55224,0.3763,0.81433,0.00055945,0.00055945,0.00055945
91,134.535,0.43715,0.37306,0.81733,0.97912,0.96327,0.98133,0.839,0.57732,0.38751,0.81782,0.0005545,0.0005545,0.0005545
92,136.117,0.43684,0.37393,0.81593,0.9655,0.97294,0.98899,0.85936,0.56969,0.38639,0.8195,0.00054955,0.00054955,0.00054955
93,137.594,0.46071,0.38636,0.80619,0.97058,0.94355,0.98791,0.86631,0.54332,0.39423,0.81204,0.0005446,0.0005446,0.0005446
94,139.01,0.46259,0.38847,0.81506,0.97357,0.95795,0.98783,0.86468,0.54162,0.38123,0.81432,0.00053965,0.00053965,0.00053965
95,140.539,0.44927,0.37841,0.81399,0.96585,0.96864,0.98942,0.84883,0.56999,0.37672,0.82077,0.0005347,0.0005347,0.0005347
96,141.989,0.43246,0.36901,0.8075,0.96672,0.95594,0.98635,0.84441,0.52281,0.39274,0.80893,0.00052975,0.00052975,0.00052975
97,143.417,0.45924,0.37002,0.81245,0.94725,0.96337,0.9851,0.83409,0.58039,0.38891,0.83205,0.0005248,0.0005248,0.0005248
98,144.797,0.45379,0.3772,0.82099,0.94149,0.9746,0.98404,0.8138,0.59006,0.39711,0.82672,0.00051985,0.00051985,0.00051985
99,146.121,0.45428,0.37689,0.81386,0.93311,0.98619,0.98069,0.83557,0.55838,0.39638,0.82007,0.0005149,0.0005149,0.0005149
100,147.614,0.44438,0.36499,0.8053,0.96822,0.9714,0.97255,0.82413,0.58747,0.41214,0.82597,0.00050995,0.00050995,0.00050995
101,148.952,0.44248,0.35932,0.8164,0.96593,0.97538,0.97342,0.83571,0.53279,0.37945,0.81399,0.000505,0.000505,0.000505
102,150.36,0.45453,0.36388,0.80833,0.97694,0.97389,0.97738,0.83835,0.52312,0.36478,0.81069,0.00050005,0.00050005,0.00050005
103,151.771,0.43176,0.36262,0.80878,0.974,0.96651,0.98638,0.84702,0.54079,0.36692,0.81274,0.0004951,0.0004951,0.0004951
104,153.156,0.42855,0.35833,0.80995,0.96175,0.97843,0.98571,0.84847,0.51451,0.36329,0.80181,0.00049015,0.00049015,0.00049015
105,154.58,0.42503,0.35812,0.81524,0.9739,0.96711,0.98789,0.85342,0.51564,0.36053,0.80129,0.0004852,0.0004852,0.0004852
106,155.984,0.43848,0.35709,0.79699,0.95091,0.97361,0.98522,0.83461,0.55642,0.39702,0.80615,0.00048025,0.00048025,0.00048025
107,157.343,0.4448,0.35367,0.81585,0.94978,0.96208,0.97863,0.82541,0.58478,0.47173,0.81186,0.0004753,0.0004753,0.0004753
108,158.744,0.42348,0.36095,0.80376,0.971,0.95105,0.97727,0.81935,0.6156,0.44337,0.81983,0.00047035,0.00047035,0.00047035
109,160.089,0.42704,0.34891,0.80838,0.96089,0.97485,0.97886,0.8185,0.58861,0.38432,0.81917,0.0004654,0.0004654,0.0004654
110,161.538,0.43595,0.36121,0.8147,0.95742,0.9741,0.98113,0.82928,0.61362,0.36987,0.82312,0.00046045,0.00046045,0.00046045
111,162.915,0.44766,0.35786,0.80329,0.96033,0.97108,0.97985,0.81567,0.63927,0.37641,0.83233,0.0004555,0.0004555,0.0004555
112,164.399,0.44243,0.35901,0.81025,0.94647,0.9717,0.98112,0.83465,0.59628,0.37891,0.82183,0.00045055,0.00045055,0.00045055
113,165.874,0.42991,0.35779,0.80985,0.9482,0.96653,0.97855,0.83862,0.56078,0.37281,0.81277,0.0004456,0.0004456,0.0004456
114,167.238,0.4259,0.33968,0.8082,0.94166,0.97426,0.97564,0.83205,0.5614,0.3761,0.81144,0.00044065,0.00044065,0.00044065
115,168.643,0.42731,0.34712,0.80744,0.93897,0.97994,0.97249,0.81458,0.58877,0.37789,0.81635,0.0004357,0.0004357,0.0004357
116,170.089,0.42324,0.34526,0.80176,0.93805,0.97667,0.98365,0.84003,0.60413,0.37631,0.81864,0.00043075,0.00043075,0.00043075
117,171.494,0.41491,0.34646,0.81115,0.96311,0.96327,0.99041,0.85104,0.57848,0.38782,0.80899,0.0004258,0.0004258,0.0004258
118,172.969,0.39834,0.34178,0.80793,0.96559,0.94607,0.99204,0.85165,0.56163,0.40225,0.80422,0.00042085,0.00042085,0.00042085
119,174.364,0.41618,0.33877,0.80707,0.97358,0.94437,0.99257,0.84606,0.55267,0.38103,0.80272,0.0004159,0.0004159,0.0004159
120,175.874,0.41717,0.33857,0.80009,0.96661,0.95298,0.99198,0.86517,0.51498,0.37613,0.79728,0.00041095,0.00041095,0.00041095
121,177.168,0.41298,0.35082,0.80408,0.94443,0.96099,0.99137,0.85923,0.51688,0.37884,0.79875,0.000406,0.000406,0.000406
122,178.709,0.41809,0.33159,0.80457,0.94973,0.93538,0.98549,0.85246,0.52717,0.40962,0.80028,0.00040105,0.00040105,0.00040105
123,180.042,0.40957,0.33021,0.80276,0.96083,0.94019,0.9906,0.8557,0.5431,0.37056,0.80637,0.0003961,0.0003961,0.0003961
124,181.492,0.40552,0.33202,0.80764,0.96491,0.94814,0.98888,0.84943,0.54237,0.3528,0.80907,0.00039115,0.00039115,0.00039115
125,182.829,0.41699,0.33357,0.80732,0.95235,0.95125,0.9886,0.84688,0.56765,0.35864,0.81373,0.0003862,0.0003862,0.0003862
126,184.394,0.42069,0.32779,0.80388,0.92207,0.99359,0.99027,0.83561,0.6014,0.36431,0.82276,0.00038125,0.00038125,0.00038125
127,185.762,0.40298,0.33004,0.80921,0.9205,0.99331,0.9887,0.84193,0.55893,0.3535,0.80945,0.0003763,0.0003763,0.0003763
128,187.23,0.39748,0.33524,0.79256,0.91297,0.97458,0.98641,0.84303,0.58385,0.39871,0.81825,0.00037135,0.00037135,0.00037135
129,188.762,0.39428,0.31216,0.79497,0.90802,0.96475,0.97967,0.84521,0.54379,0.4431,0.81026,0.0003664,0.0003664,0.0003664
130,190.268,0.39758,0.32221,0.80697,0.92902,0.93829,0.98087,0.83887,0.56168,0.42326,0.81381,0.00036145,0.00036145,0.00036145
131,191.722,0.40113,0.32262,0.808,0.93313,0.95818,0.98383,0.84011,0.55133,0.38516,0.81219,0.0003565,0.0003565,0.0003565
132,193.212,0.41057,0.32071,0.81304,0.9307,0.96486,0.98929,0.84516,0.56036,0.36137,0.81115,0.00035155,0.00035155,0.00035155
133,194.603,0.39522,0.32282,0.8062,0.98005,0.9425,0.9916,0.84935,0.55948,0.35057,0.80932,0.0003466,0.0003466,0.0003466
134,196.072,0.39474,0.31211,0.79944,0.97887,0.95862,0.9896,0.84811,0.55671,0.34004,0.81016,0.00034165,0.00034165,0.00034165
135,197.431,0.3806,0.29684,0.79176,0.97488,0.96408,0.98865,0.84517,0.57743,0.33705,0.81567,0.0003367,0.0003367,0.0003367
136,198.834,0.3778,0.31468,0.7942,0.9738,0.94793,0.98908,0.84693,0.53624,0.3387,0.80516,0.00033175,0.00033175,0.00033175
137,200.188,0.37472,0.30145,0.78835,0.96917,0.94735,0.98291,0.83466,0.54047,0.34167,0.80929,0.0003268,0.0003268,0.0003268
138,201.552,0.37375,0.30724,0.79846,0.96319,0.96623,0.98571,0.84118,0.53525,0.32684,0.8071,0.00032185,0.00032185,0.00032185
139,202.893,0.36401,0.30862,0.8016,0.96239,0.96323,0.98837,0.84669,0.54697,0.32852,0.80859,0.0003169,0.0003169,0.0003169
140,204.213,0.37022,0.30462,0.79797,0.95116,0.95797,0.98613,0.84843,0.55138,0.35671,0.80509,0.00031195,0.00031195,0.00031195
